class,sms,stemmed_sms,len
ham,"Oops I did have it, &lt;#&gt; ?",oop lt gt,31
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",enufcredeit ileav uni bu yor hous,73
ham,"Hi Chikku, send some nice msgs",hi chikku send nice msg,30
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",imposs argu alway treat like sub like never releas remind necessari,154
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",work ah den plu lor workin oso rite den go orchard lor place go liao,107
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",wonder okor great month cherish guy wish well day mojibiola,101
ham,Cuz ibored. And don wanna study,cuz ibor wan na studi,31
ham,Wot about on wed nite I am 3 then but only til 9!,wot wed nite til,49
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose red red blood blood heart heart send ti ur includ like get back poor relat need support frnd mani luv pray god marri tri,281
ham,Any way where are you and what doing.,way,37
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?,suck go hair free right,70
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;,still work time also tri ad zero save check lt gt,112
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",hmm dunno leh mayb bag goigng dat small ju anyth except perfum smth dat keep,116
ham,Sday only joined.so training we started today:),sday train start today,47
ham,Sorry * was at the grocers.,sorri grocer,27
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,nice pub near franki benni near warner cinema,87
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",costa del sol holiday await collect call toclaim sae tc stockport,164
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book,yup havent want go yoga call book,87
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,oh shut omg yesterday dream kid boy piss kid boy even told mark dream chang diaper caus get owe face,228
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,yeah imagin would realli gentl unlik doc treat patient like turkey,102
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,free week nokia tone ur mobil everi week txt nokia get txting tell ur mate pobox,162
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,start dont stop pray good idea anyth see help guy forward link,133
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,hi darlin im helen fone im gon na princ nite pleas come tb love kate,88
ham,I'm in office now da:)where are you?,offic da,36
ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,aiyar poor thing give support jia think,77
ham,Oh unintentionally not bad timing. Great. Fingers the trains play along! Will give fifteen min warning.,oh unintent bad time great finger train play along give fifteen min warn,103
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,get garden readi summer free select summer bulb seed worth scotsman saturday stop,156
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),come wenev lik come also tel vikki come get free,87
ham,Pls call me da. What happen.,pl call da happen,28
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",happi new year ur famili may new year bring happi stabil tranquil ur vibrant colour life,130
ham,No problem with the renewal. I.ll do it right away but i dont know his details.,problem renew right away dont know detail,79
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,idk sit stop shop park lot right bawl eye feel like failur everyth nobodi want feel like fail,184
ham,Haven't left yet so probably gonna be here til dinner,left yet probabl gon na til dinner,53
ham,"Like &lt;#&gt; , same question",like lt gt question,30
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,new year eve went parti boyfriend si hey,85
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",sir need velusami sir date birth compani bank facil detail,77
ham,K k:) sms chat with me.,sm chat,23
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.,come karnan car pleas wait till directli goto doctor,76
ham,No but the bluray player can,bluray player,28
ham,Ok... Then r we meeting later?,ok meet later,30
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,lol need cash nitro hurri come crash,75
ham,Just send a text. We'll skype later.,send text skype later,36
ham,Ok leave no need to ask,ok leav need ask,23
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",congrat mobil videophon call videochat wid ur mate play java game dload polyph music nolin rentl,160
ham,ÌÏ still got lessons? ÌÏ in sch?,ìï still got lesson ìï sch,32
ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,dun believ leh tot told true alreadi thk muz us tog believ,99
ham,Oh did you charge camera,oh charg camera,24
ham,"I‰Û÷ve got some salt, you can rub it in my open wounds if you like!",got salt rub open wound like,67
ham,Now i'm going for lunch.,go lunch,24
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,school da lab stuff give call done,85
ham,Oh k. . I will come tomorrow,oh come tomorrow,28
ham,"Aight, text me tonight and we'll see what's up",aight text tonight see,46
ham,U 2.,,4
ham,Water logging in desert. Geoenvironmental implications.,water log desert geoenvironment implic,55
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,favour pl convey birthday wish nimya pl today birthday,93
ham,Company is very good.environment is terrific and food is really nice:),compani terrif food realli nice,70
ham,"Very strange. and are watching the 2nd one now but i'm in bed. Sweet dreams, miss u",strang watch one bed sweet dream miss,83
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,sm auction brand new nokia auction today auction free join take part txt nokia,119
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please",hi hope ok said would text seen let gentli pleas,100
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",babe fuck love know fuck good hear voic need crave ca get enough ador ahmad,157
ham,K sure am in my relatives home. Sms me de. Pls:-),sure rel home sm de pl,49
ham,I sent them. Do you like?,sent like,25
ham,"Fuuuuck I need to stop sleepin, sup",fuuuuck need stop sleepin sup,35
ham,I'm in town now so i'll jus take mrt down later.,town ju take mrt later,48
ham,I just cooked a rather nice salmon a la you,cook rather nice salmon la,43
ham,I uploaded mine to Facebook,upload mine facebook,27
ham,WHAT TIME U WRKIN?,time wrkin,18
ham,Okie,oki,4
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entri weekli comp chanc win ipod txt pod get entri std txt rate appli detail,142
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,record indic mayb entitl pound compens accid claim free repli claim msg stop txt stop,156
ham,"Sorry, I'll call later",sorri call later,22
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,oh oh den muz chang plan liao go back yan jiu,69
ham,"It's wylie, you in tampa or sarasota?",wyli tampa sarasota,37
ham,Ok... Take ur time n enjoy ur dinner...,ok take ur time enjoy ur dinner,39
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,darren say dat meet da ge den dun meet dinner co later leav xy feel awkward den meet lunch lor,134
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spook mob halloween collect logo pic messag plu free eeri tone txt card spook zed per,149
ham,I like cheap! But i‰Û÷m happy to splash out on the wine if it makes you feel better..,like cheap happi splash wine make feel,85
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,fine difficulti phone work mine pl send anoth friend request,116
ham,Ugh my leg hurts. Musta overdid it on mon.,ugh leg hurt musta overdid mon,42
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,call germani penc per minut call fix line via access number prepay direct access,151
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",costa del sol holiday await collect call toclaim sae tc stockport,164
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,wot student discount get book,40
ham,Me fine..absolutly fine,fine,23
ham,How come she can get it? Should b quite diff to guess rite...,come get quit diff guess rite,61
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,mobil updat free orang latest colour camera mobil unlimit weekend call call mobil freefon,160
ham,I will reach ur home in &lt;#&gt; minutes,reach ur home lt gt minut,41
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",babe answer ca see mayb better reboot ym got photo great,109
ham,Hi.what you think about match?,think match,30
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",know thinkin malaria relax children cant handl malaria would wors gastroenter take enough replac loss temp reduc give malaria med vomit self limit ill mean day complet stop,329
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.,dai download exe file run exe instal,91
ham,It is only yesterday true true.,yesterday true true,31
ham,K.k.how is your business now?,busi,29
ham,3 pa but not selected.,pa select,22
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,natalja invit friend repli see stop send stop frnd,136
ham,I keep ten rs in my shelf:) buy two egg.,keep ten rs shelf buy two egg,40
ham,I am late. I will be there at,late,29
ham,Well thats nice. Too bad i cant eat it,well that nice bad cant eat,38
ham,I accidentally brought em home in the box,accident brought em home box,41
ham,Pls she needs to dat slowly or she will vomit more.,pl need dat slowli vomit,51
ham,I have to take exam with in march 3,take exam march,35
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",jane babe goin wrk feel ill lst nite fone alreadi cover chuck,89
ham,5 nights...We nt staying at port step liao...Too ex,night nt stay port step liao ex,51
ham,If I die I want u to have all my stuffs.,die want stuff,40
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",fuck juswok bed boatin dock slept wid year old spinout giv da gossip,112
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile hurt smile becoz someon still love see smile,141
ham,Prabha..i'm soryda..realy..frm heart i'm sory,heart sori,45
ham,I re-met alex nichols from middle school and it turns out he's dealing!,alex nichol middl school turn deal,71
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,privat account statement fone show point call identifi code expir,146
ham,It means u could not keep ur words.,mean could keep ur word,35
ham,"Nope, I'm still in the market",nope still market,29
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,realis busi guy tri bother get exam outta way tri car day,143
spam,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,chosen receiv award pl call claim number collect award select receiv valu mobil custom,159
ham,Hey what how about your project. Started aha da.,hey project start aha da,48
ham,Ok cool. See ya then.,ok cool see ya,21
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,uworld site buy qbank buy self assess also,98
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl,136
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch,someonon know tri contact via date servic find could call mobil landlin,154
ham,Yeah I can still give you a ride,yeah still give ride,32
ham,"Jay wants to work out first, how's 4 sound?",jay want work first sound,43
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt",gud chikku tke sleep well gud nyt,48
ham,Its a part of checking IQ,part check iq,25
ham,Hmm thinking lor...,hmm think lor,19
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,cours teas know simpli must see keep post prey,133
ham,thanks for the temales it was wonderful. Thank. Have a great week.,thank temal wonder thank great week,66
ham,Thank you princess! I want to see your nice juicy booty...,thank princess want see nice juici booti,58
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,eaten day sit stare juici pizza ca eat med ruin life,119
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,gud,53
ham,U come n search tat vid..not finishd..,come search tat,38
ham,"K I'm leaving soon, be there a little after 9",leav soon littl,45
spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,urgent pleas call landlin cash holiday await collect cs sae po box,127
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",yeah work fine start last week stuff dull easi guy fun,99
ham,You do your studies alone without anyones help. If you cant no need to study.,studi alon without anyon help cant need studi,77
ham,Please tell me not all of my car keys are in your purse,pleas tell car key purs,55
ham,I didnt get anything da,didnt get anyth da,23
ham,Ok... Sweet dreams...,ok sweet dream,21
ham,Well she's in for a big surprise!,well big surpris,33
ham,"As usual..iam fine, happy &amp; doing well..:)",fine happi amp,46
ham,1 in cbe. 2 in chennai.,cbe chennai,23
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,help swoop pick wherev ur bird meet want,82
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,anyon call treadmil say buy make sure work found ad craigslist sell lt gt,127
ham,I absolutely LOVE South Park! I only recently started watching the office.,absolut love south park recent start watch offic,74
ham,Did you see that film:),see film,23
ham,Pls speak with me. I wont ask anything other then you friendship.,pl speak wont ask anyth friendship,65
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person bt not his girlfrnd... G o o d n i g h t . . .@""",storm msg wen lift phne say knw wt real mean hello name knw dat girl margaret girlfrnd grahmbel invnt telphon moral one name person bt girlfrnd,327
ham,Gud ni8.swt drms.take care,gud care,26
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,hi darlin kate doin somethin tonight im go pub call swan someth parent one drink phone,152
ham,Anything lar then Ì_ not going home 4 dinner?,anyth lar go home dinner,45
ham,"\ER ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx\""""",enjoyin indian sall good hehe how bout shexi pete,83
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",prize go anoth custom polo ltd suit london pleas call back busi,144
ham,Did u fix the teeth?if not do it asap.ok take care.,fix teeth take care,51
ham,So u wan 2 come for our dinner tonight a not?,wan come dinner tonight,45
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",move flat co need arrang pick lamp etc take care hello carolin,152
ham,Its too late:)but its k.wish you the same.,late,42
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",hi hope ur day good back walk tabl book half eight let know ur come,101
ham,Oh yeah clearly it's my fault,oh yeah clearli fault,29
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,dunno leh cant rememb mayb lor wat time meet tmr,63
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",best msg hard person know one step foward make fall amp one step back ruin ur good night,168
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent mobil number award prize guarante call land line claim valid,144
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",helloooo wake full gud,125
ham,"Vikky, come around &lt;TIME&gt; ..",vikki come around lt time gt,34
ham,"And how you will do that, princess? :)",princess,38
ham,I have gone into get info bt dont know what to do,gone get info bt dont know,49
ham,"Yeah, probably here for a while",yeah probabl,31
ham,Sent me ur email id soon,sent ur email id soon,24
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership prize jackpot txt word claim lccltd pobox,156
ham,I'm still pretty weak today .. Bad day ?,still pretti weak today bad day,40
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,hey forget mine possess properti mmm,113
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),excel thought misundrstud frnd knw hate bt day wen knw truth hate urself gn,119
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,hey congrat id luv ive go home,50
ham,Dear where you. Call me,dear call,23
ham,Xy trying smth now. U eat already? We havent...,xy tri smth eat alreadi havent,47
spam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,urgent pleas call landlin cash luxuri canari island holiday await collect cs sae po box,155
ham,I donno its in your genes or something,donno gene someth,38
spam,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,xma iscom ur award either cd gift voucher free entri weekli draw txt music tnc,156
ham,Alex says he's not ok with you not being ok with it,alex say ok ok,51
ham,Are u coming to the funeral home,come funer home,32
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,darl sister school resum minimum wait period reappli take care,125
ham,I.ll hand her my phone to chat wit u,hand phone chat wit,36
ham,Well good morning mr . Hows london treatin' ya treacle?,well good morn mr how london treatin ya treacl,55
ham,I can't make it tonight,ca make tonight,23
ham,At WHAT TIME should i come tomorrow,time come tomorrow,35
ham,About &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,lt gt buck bank fee fix better call bank find,86
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...",tell quit long co finish film yet,71
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for &lt;#&gt; dollars.,pl ask macho much budget bb bold co saw new one lt gt dollar,92
ham,"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",miss call mumha beendrop red wine theplac adress,99
ham,Ill be at yours in about 3 mins but look out for me,ill min look,51
ham,What you did in leave.,leav,22
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,come back thursday yay gon na ok get money cheer oh yeah everyth alright how school call work,162
ham,"Jolly good! By the way, will give u tickets for sat eve 7.30. Speak before then x",jolli good way give ticket sat eve speak,81
ham,"yeah, that's what I was thinking",yeah think,32
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,go tirunelvali week see uncl alreadi spend amount take dress want give feb,146
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,got ur favorit oyster got favorit sashimi ok lar dun say alreadi wait ur stomach start rumbl,121
ham,My sister going to earn more than me da.,sister go earn da,40
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,get offici england poli rington colour flag yer mobil tonight game text tone flag optout txt eng stop,157
ham,Hahaha..use your brain dear,brain dear,27
ham,Jus finish watching tv... U?,ju finish watch tv,28
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",fyi back parent place south tampa might need deal somewher els,97
ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",good morn love go sleep wish great day full feel better opportun last thought babe love,159
ham,Kothi print out marandratha.,kothi print marandratha,28
ham,But we havent got da topic yet rite?,havent got da topic yet rite,36
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,ok problem yup go sch rem correctli,64
ham,"Thanks, I'll keep that in mind",thank keep mind,30
ham,Aah bless! How's your arm?,aah bless arm,26
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",dear sir salam pleasur meet today tea pleas send contact number save regard,189
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",gal boy walk park hold ur hand think would run away jst wana feel walk heaven,160
ham,What makes you most happy?,make happi,26
ham,Wishing you a wonderful week.,wish wonder week,29
ham,Sweet heart how are you?,sweet heart,24
ham,"Sir, waiting for your letter.",sir wait letter,29
ham,Dude im no longer a pisces. Im an aquarius now.,dude im longer pisc im aquariu,47
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me,cours messag messeng lik send,72
ham,I think steyn surely get one wicket:),think steyn sure get one wicket,37
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the thing will be resolved, tho. Anyway. Have a fab hols",neither sterm voic studi fine sure thing resolv tho anyway fab hol,124
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex",garbag bag egg jam bread hannaford wheat chex,52
ham,No. It's not pride. I'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,pride almost lt gt year old takin money kid suppos deal stuff grownup stuff tell,190
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,sound better even im costum im sure time finish tomorrow txt end,126
ham,My birthday is on feb &lt;#&gt; da. .,birthday feb lt gt da,37
ham,So when do you wanna gym?,wan na gym,25
ham,You'd like that wouldn't you? Jerk!,like would jerk,35
ham,Are u awake? Is there snow there?,awak snow,33
ham,And of course you should make a stink!,cours make stink,38
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",subscrib textcomp wkli comp wk free question follow subsequ wk charg unsubscrib txt stop custcar,156
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.,go open room thanksgiv without upcharg,77
ham,When you guys planning on coming over?,guy plan come,38
ham,Wat Ì_ doing now?,wat,17
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",parent kidz friend colleagu surpris wait nake,130
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,sir trip bu last week anoth audit next wednesday think might drive time,133
ham,Do I? I thought I put it back in the box,thought put back box,40
ham,I'm home...,home,11
ham,No one interested. May be some business plan.,one interest may busi plan,45
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,yup paragon havent decid whether cut yet hee,67
ham,Good morning princess! Have a great day!,good morn princess great day,40
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,guai ìï shd haf seen naughti ìï free today go jog,84
ham,Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.,aiyo co sm neva repli wait repli lar tot havent finish ur lab wat,100
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",live love also laugh win tooo difficult,145
ham,Tell me something. Thats okay.,tell someth that okay,30
ham,Ok,ok,2
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,hmm shall bring bottl wine keep us amus joke still bring bottl red white see tomorrow,125
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9 &lt;#&gt; ) select any number i will tell ur face astrology.... am waiting. quick reply...,ur face test lt gt select number tell ur face astrolog wait quick repli,131
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend",hey iouri gave number wyli ryan friend,56
ham,Yep get with the program. You're slacking.,yep get program slack,42
ham,I'm in inside office..still filling forms.don know when they leave me.,insid fill know leav,70
ham,"I think your mentor is , but not 100 percent sure.",think mentor percent sure,50
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),call send girl erot ecstaci stop text call nat rate,112
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,camera award sipix digit camera call fromm landlin deliveri within day,106
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611,xma reward wait comput randomli pick loyal mobil custom receiv reward call,157
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,tri figur suppos see coupl differ peopl week said get togeth set date,135
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,import messag final contact attempt import messag wait custom claim dept expir call,156
ham,Hi mom we might be back later than &lt;#&gt;,hi mom might back later lt gt,44
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,date two start sent text talk sport radio last week connect think coincid,139
ham,"Lol, oh you got a friend for the dog ?",lol oh got friend dog,38
ham,"Ok., is any problem to u frm him? Wats matter?",problem frm wat matter,46
ham,"K I'll head out in a few mins, see you there",head min see,44
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,konw waht rael friendship im gving yuo exmpel jsut ese tih evrey splle tih msg bt sitll yuo ra wihtuot ayn goodnight amp nice,212
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,51
